uf,tipo,cod_localidade,feat_1,feat_2,feat_3,feat_4,loc_x,loc_y,mercado_mais_proximo,farmacia_mais_proxima,escola_mais_proxima,num_penit_4km,num_penit_500m,idade_imovel,area,preco
RJ,Tipo 1,Localidade 4,0.6206481608807425,9.967806498379923,4.990882208412617,25.124843777992982,0.0813815529824973,0.7270212232023068,3603.941383841504,2002.686030260091,1124.043112727259,0.0,0.0,,123.0,1348017
SP,Tipo 2,Localidade 4,0.8176422899651213,12.62969505120976,5.466835023523768,23.44434267650425,0.3679802831811765,0.1458117610463485,2185.2091388771137,683.8118615549121,2462.825432022666,0.0,0.0,13.0,143.0,926601
RJ,Tipo 2,Localidade 3,0.7930804908610853,11.292155633774437,4.201918623940819,28.23073143552072,0.3326541806713556,0.4329043986046362,1025.6983389324494,957.451551701899,1049.1121171802624,0.0,0.0,12.0,150.0,1627474
SC,Tipo 1,Localidade 4,0.7924352257615681,11.563047462472266,5.459776989552734,22.414837129576565,0.159662960072023,0.8845961149534195,,3723.067389723022,1296.121182196671,0.0,0.0,8.0,160.0,1201041
RN,Tipo 1,Localidade 3,0.7116957351923229,11.655785206875896,4.891313520848384,25.45125058027304,0.1561544470113155,0.8363197733232548,3925.306331083371,705.8073427817645,4178.062758488525,0.0,0.0,12.0,134.0,1444848
CE,Tipo 2,Localidade 3,0.7859540980271728,11.369609734258267,4.680562381266569,26.82622337814614,0.091367207376991,0.2281849863359345,4155.304956727835,3362.470136311571,449.703395388467,0.0,0.0,2.0,136.0,1374229
MG,Tipo 2,localidade 4,0.587009743319688,8.96542707177258,5.481009737367031,22.29894949931801,0.5950764453737584,0.399175855669156,2875.015623807049,2242.262259516438,1427.3777092893972,0.0,0.0,14.0,79.0,876902
SC,Tipo 2,Localidade 2,0.7231457507455415,11.267309853383749,5.306409387577223,22.670278666406205,0.6111052610262648,0.9058267026795466,4736.052163939499,1716.764469912615,2497.8513734557423,1.0,0.0,7.0,102.0,777839
SP,Tipo 2,Localidade 9,0.7802514471362695,11.144379728427856,4.4358125314618775,28.00038481039317,0.5421046832473176,0.215645196991593,1118.361670689148,2524.415301203243,2454.295835743972,0.0,0.0,16.0,102.0,978136
ES,Tipo 1,Localidade 2,0.6825404495961419,9.831819235708384,5.2054030455736005,24.311478547338734,0.949489917221316,0.3812463548477371,2416.275513731369,884.1560756413443,2366.4818367150647,0.0,0.0,14.0,209.0,831414
RO,Tipo 2,Localidade 1,0.8626772154466298,12.934747982263891,4.86108017432734,25.88474452570665,0.4904313343954244,0.0339819003813475,3944.8301630777664,6230.157658070039,1430.4700107585766,0.0,0.0,16.0,161.0,650252
