cod_uf_ibge,estado,uf,regiao,qtd_municipios
41,PARANA,PR,REGIAO SUL,399
42,SANTA CATARINA,SC,REGIAO SUL,295
43,RIO GRANDE DO SUL,RS,REGIAO SUL,497
15,PARA,PA,REGIAO NORTE,144
13,AMAZONAS,AM,REGIAO NORTE,62
17,TOCANTINS,TO,REGIAO NORTE,139
11,RONDONIA,RO,REGIAO NORTE,52
14,RORAIMA,RR,REGIAO NORTE,15
16,AMAPA,AP,REGIAO NORTE,16
12,ACRE,AC,REGIAO NORTE,22
32,ESPIRITO SANTO,ES,REGIAO SUDESTE,78
35,SAO PAULO,SP,REGIAO SUDESTE,645
33,RIO DE JANEIRO,RJ,REGIAO SUDESTE,92
31,MINAS GERAIS,MG,REGIAO SUDESTE,853
26,PERNAMBUCO,PE,REGIAO NORDESTE,185
28,SERGIPE,SE,REGIAO NORDESTE,75
21,MARANHAO,MA,REGIAO NORDESTE,217
29,BAHIA,BA,REGIAO NORDESTE,417
22,PIAUI,PI,REGIAO NORDESTE,224
24,RIO GRANDE DO NORTE,RN,REGIAO NORDESTE,167
23,CEARA,CE,REGIAO NORDESTE,184
27,ALAGOAS,AL,REGIAO NORDESTE,102
25,PARAIBA,PB,REGIAO NORDESTE,223
52,GOIAS,GO,REGIAO CENTRO-OESTE,246
51,MATO GROSSO,MT,REGIAO CENTRO-OESTE,141
53,DISTRITO FEDERAL,DF,REGIAO CENTRO-OESTE,1
50,MATO GROSSO DO SUL,MS,REGIAO CENTRO-OESTE,79
